	Train BalAcc	Val BalAcc	Test BalAcc	Train Accuracy	Val Accuracy	Test Accuracy	Train AUROC	Val AUROC	Test AUROC	Comb
0	0.9976851851851851	0.6547619047619048	0.6094995489242016	0.9981167608286251	0.6793650793650795	0.6348699782372845	1.0	0.7414965986394558	0.7019188872130049	0.1_1.5_1.0_0.6_50_0.0001_287_0.1_0.0001
1	0.9992063492063492	0.6551587301587302	0.6464235278844073	0.9990530303030303	0.6744708994708994	0.6660507923520923	0.9999776436396154	0.7523431594860167	0.7006871124518183	0.1_1.5_1.0_0.6_50_0.0001_287_0.1_0.0001
2	0.9980489417989418	0.6039682539682539	0.5852014798065562	0.9981167608286253	0.6317460317460316	0.6080515990510317	1.0	0.6603174603174603	0.6684984079101727	0.1_1.5_1.0_0.6_50_0.0001_287_0.1_0.0001
3	1.0	0.636904761904762	0.6316262743831447	1.0	0.6556878306878308	0.6552293157135727	1.0	0.6754724111866969	0.6789944695827049	0.1_1.5_1.0_0.6_50_0.0001_287_0.1_0.0001
4	0.9988425925925926	0.5956349206349205	0.5611031676891972	0.9990583804143126	0.6185185185185186	0.5850377314265321	1.0	0.6317460317460317	0.6340740740740741	0.1_1.5_1.0_0.6_50_0.0001_287_0.1_0.0001
5	0.7531683529606505	0.5777342389411355	0.5781825485348405	0.8616110341998667	0.7466880341880343	0.7419997864926597	0.9197515777019237	0.6778108672936258	0.6025793650793652	5_0.5_1.0_0.6_50_0.1_287_0.0001_0.1
6	0.7492667571976527	0.5681644026471613	0.5964959032616078	0.8590900545215265	0.7252136752136752	0.7359772945891003	0.920747513544618	0.6337025426680599	0.5942918192918193	5_0.5_1.0_0.6_50_0.1_287_0.0001_0.1
7	0.745294873457298	0.558098223615465	0.5991259287142139	0.8531550701601462	0.7262820512820513	0.7370934258276383	0.9144088038059112	0.6078491814698711	0.6361111111111112	5_0.5_1.0_0.6_50_0.1_287_0.0001_0.1
8	0.7289649045185459	0.5695924764890282	0.5670789106145643	0.8489548616452169	0.7425213675213675	0.7262389451450911	0.911488757960944	0.5995341344479276	0.6409340659340659	5_0.5_1.0_0.6_50_0.1_287_0.0001_0.1
9	0.7658910913662366	0.571229536746778	0.5901635375744034	0.8649908561076075	0.7303418803418803	0.7463883704178026	0.919158073703907	0.6412243120863811	0.6252442002442002	5_0.5_1.0_0.6_50_0.1_287_0.0001_0.1
10	0.9595550810904072	0.6264993686868687	0.5442801181104767	0.9805706843476202	0.728706929926442	0.6971950004906557	0.9963295088566827	0.6865617985409651	0.5773064654643602	0.1_1.5_1.0_1.0_50_0.0001_525_0.1_0.0001
11	0.9603717362548885	0.465251473063973	0.4963735557738677	0.9797616228589471	0.6436314363143633	0.6469027877328831	0.9954093340234644	0.5062342171717171	0.5329683474420317	0.1_1.5_1.0_1.0_50_0.0001_525_0.1_0.0001
12	0.9614809782608696	0.5497422138047138	0.638792571488717	0.9773225984687031	0.6922183507549361	0.7306297356447479	0.9969256815044858	0.6222643097643098	0.6457919273708748	0.1_1.5_1.0_1.0_50_0.0001_525_0.1_0.0001
13	0.9588157062341846	0.6037720959595959	0.5861910292351897	0.977318651827295	0.7248354626403405	0.74029651678539	0.9944351708074534	0.6147411616161617	0.6308704453441296	0.1_1.5_1.0_1.0_50_0.0001_525_0.1_0.0001
14	0.9546008741660916	0.5588699494949495	0.5836354957294133	0.9748993606440918	0.7170925280681377	0.6911629849584636	0.9943484011962274	0.6209490740740741	0.5920878828773566	0.1_1.5_1.0_1.0_50_0.0001_525_0.1_0.0001
